IMAGE_FILE	DESCRIPTION	AUTHOR	TITLE	TECHNIQUE	DATE	TYPE	SCHOOL	TIMEFRAME
16988-nuenen03.jpg	Catalogue numbers: F 30, JH 479.In Nuenen between January and August 1884, van Gogh depicted the figure of the weaver working at the loom in several pen drawings, watercolours and oil paintings. In this small village of Northern-Brabant, to where his parents moved in September 1882, more than four hundred people took up weaving, an activity of domestic industry during the winter months, when agricultural labour was suspended.The chronology of the series could be determined by the development in representing the loom. As time went by, van Gogh depicted the loom with more and more precision, abandoning the anecdotal elements and concentrating on the work process and on the machine itself	GOGH, Vincent van	Weaver, Seen from the Front	Oil on canvas, 70 x 85 cm	May 1884, Nuenen	other	Dutch	1851-1900
21562-abraham.jpg	The painting is signed and dated on the rock at the left side	LASTMAN, Pieter Pietersz.	Abraham's Journey to Canaan	Oil on canvas transferred from wood, 72 x 122 cm	1614	religious	Dutch	1601-1650
23235-predell1.jpg	Lorenzo Veneziano fulfilled countless commissions in Venice and its vicinity that display a handsome fusion of Byzantine and later pictorial currents. His commissions included that for an altarpiece which was later dismembered. The central panel depicting Christ Giving the Keys to St Peter is now in the Museo Correr, Venice, the side panels were destroyed in Berlin in 1945. The five predella panels survived, they comprise the Conversion of Paul; the Calling of the Apostles Peter and Andrew; the Christ Rescuing Peter from Drowning; the Apostle Peter Preaching; the Crucifixion of Peter	LORENZO VENEZIANO	Conversion of Paul	Poplar panel, 26 x 33 cm	c. 1370	religious	Italian	1351-1400
10416-19melanc.jpg	Philipp Melanchthon (1497-1560) was a German reformer, collaborator with Martin Luther, the first systematic theologian of the Protestant Reformation, intellectual leader of the Lutheran Reformation, and an influential designer of educational systems. He stands next to Luther and Calvin as a reformer, theologian, and molder of Protestantism.Melanchthon had his portrait painted on numerous occasions, but he only sat to four artists: Albrecht Dürer (in an engraving of 1526); Hans Holbein the Younger (whose portrait of circa 1535 is in the Nieders&#228;chsisches Landesmuseums, Hannover); and both Lucas Cranach the Elder and his son Lucas Cranach the Younger.Cranach the Younger painted several portraits of Melanchthon, probably from the mid 1540s onwards. The earliest would seem to be that dated 1544, in Östra Ryd, Sweden, and the last painted from life is that signed and dated 1559 in the St&#228;del Museum, Frankfurt am Main, finished just one year before Melanchthon's death at the age of 63. Such was the demand for portraits of Luther and Melanchthon that several posthumous works were produced by Cranach the Younger and his studio	CRANACH, Lucas the Younger	Portrait of Philipp Melanchthon	Oil on pine panel, 63 x 49 cm	c. 1550	portrait	German	1501-1550
41688-02madchr.jpg	The picture shows the central panel of the triptych of the Cathedral in Seville. The altarpiece is related to Sienese painting. The artist is referred to as Juan de Sevilla	UNKNOWN MASTER, Spanish	Madonna with Christ Child and Angels Playing Music	Tempera on wood	1400-50	religious	Spanish	1401-1450
18525-2summer1.jpg	Abel Grimmer continued the themes of Pieter Bruegel the Elder and evoked the four seasons in many of his paintings. He copied the subjects produced by Bruegel while adding his own mark: a stylisation of the forms and the introduction of powerful colours.The present panel of Summer is an interpretation of the famous drawing by Pieter Bruegel the Elder. This drawing inspired numerous artists including his son, Pieter Brueghel the Younger. Not all refer to the drawing itself, but rather to the engraving of it made by Pieter Cock around 1570. Engraving flourished in Antwerp in the 16th century and was an excellent means of distribution. Hence, artists were familiar with the works of their contemporaries.There are other versions of this painting by Abel Grimmer	GRIMMER, Abel	Summer	Oil on panel, 24 x 37 cm	-	landscape	Flemish	1601-1650
34296-sabine2.jpg	The Rape of the Sabine Women and its companion-piece the Battle of the Romans and the Sabines illustrates the legend of Rome's foundation.Romulus, the founder of Rome, succeeded by a ruse in ensuring the future growth of the population. He arranged a festival to which were invited the inhabitants of neighbouring settlements including the Sabines, with their wives and children. During the festivities, at a given signal, the young men of Rome broke into the crowd and, choosing only unmarried maidens of the Sabines, carried them off. The Sabine women accepted their lot. But later a Sabine army attacked the city in force and succeeded in overcoming part of it. They were prevented from going further by the intervention of the Sabine women which brought about peace between the warring soldiers.The glowing colours of the two paintings reveal the influence of Paolo Veronese, while the pastel illumination of Ricci's palette anticipates the Rococo	RICCI, Sebastiano	Battle of the Romans and the Sabines	Oil on canvas, 197 x 303 cm	c. 1700	historical	Italian	1701-1750
18753-guard219.jpg	"Francesco Guardi was a collaborator of Gianantonio, from whom he learned the craft of painting, but he introduced into his older brothers art his own profoundly meditative personality. This fact is evinced by the essential differences to be discerned in the works the ""workshop"" produced. This picture, unanimously attributed by researchers to Francesco, is, in all likelihood, the fragment of a larger composition. The whole scene is summarized in the slow and calm movement of the gondoliere in the foreground, whereas the scenery of the lagoon virtually disintegrates in the mother-of-pearl atmosphere, which is lightened here and there by some rare flashes in the background. The lonely gondola is seen in the lagoon at the Fondamente Nuove, in front of the islands of San Cristoforo and San Michele.The emotional intensity of the painting is condensed into this brief recording of the moment, as if it were a ""phrase in music"", for example in Vivaldi's or Albinoni's compositions of the same theme. The smooth lagoon and the ""adagio continuo"" are parallel motifs of picture and music. The scenery becomes dissolved in musicality, as musicality disintegrates ""in sorrowful weeping"" (Goethe).The mournful character of the black gondola is both a forecast and a conscious experience of the future destiny of the world of lagoons &#151; a world enclosed within its own modest boundaries. This is a world which has disappeared, because it was linked to a declining civilization. The argument was not continued, and it has not been taken up again; the other lagoon painters, such as the members of the Burano school, could not disguise the emptiness &#151; not only of form but also of content."	GUARDI, Francesco	Gondola in the Lagoon	Oil on canvas, 31 x 42 cm	c. 1765	landscape	Italian	1751-1800
28665-1london3.jpg	"This canvas belongs to a series of eleven paintings executed after Monet's stays in London. The Parliament building is viewed from a window of St. Thomas's Hospital located on the opposite shore of the Thames.During his four visits to London between 1900 and 1905, Monet did a series of paintings of the Houses of Parliament. In these works his art attained new heights. Everything visible is resolved in the reflection of light. The subtitle of the painting, ""With the Sun Shining through Fog"", is significant. Not only the sky, but also the river and even the buildings are fused together in dazzling colour tones. The Houses of Parliament rise up out of the fog like a vision. It is not the building which seems to be present but rather its optical effect"	MONET, Claude	The Houses of Parliament in London	Oil on canvas, 81 x 92 cm	1904	landscape	French	1851-1900
25321-triptyc1.jpg	This painting is the central panel of a triptych. The wings represents Sts John the Baptist and Anthony of Padua with the donor Bonifazio Lupi (left), and Sts John the Evangelist and Louis of Toulouse with Catarina dei Francesi, the donor's wife.While continuing to refer to Giotto, Florentine painters began to introduce a refined linear Gothic style. An example is the triptych by Tommaso del Mazza, commisssioned for the main altar of the hospital founded in Florence by Bonifazio Lupi in 1386, and dedicated to Saint John the Baptist	MAZZA, Tommaso del	Virgin and Child with Eight Angels	Poplar panel, gold ground, 85 x 61 cm	c. 1385	religious	Italian	1351-1400
23919-denial.jpg	Manfredi created a series of theatrically lit compositions in which bawdy figures crowd around a table gambling, drinking and making music. In his Denial of St Peter the tavern scene is transformed into a religious narrative in which the soldiers' game of dice is given more prominence than Peter's betrayal. The religious event is thus cast within the context of secular life	MANFREDI, Bartolomeo	The Denial of St Peter	Oil on canvas, 166 x 232 cm	1615-16	religious	Italian	1601-1650
09017-11paris.jpg	The painting is included in Liber Veritatis (LV 117).The painting, also called The Ford, is a pendant to Ulysses Returns Chryseis her Father.	CLAUDE LORRAIN	Landscape with Paris and Oenone	Oil on canvas, 119 x 150 cm	1648	landscape	French	1651-1700
21214-richter2.jpg	The mood of the time is very evident in the matching pair of portrait's of Franz Xaver Richter von Binnenthal, who was a Viennese official who had been ennobled, and his wife, Maria Angelica Richter von Binnenthal, née Freiin von Zach. The graceful wife bears the 25-year difference in age from her husband with the same dignity as he wears his 1814 medal. Moreover, the colours of the clothing are skillfully balanced: her black dress with its white collar is the inversion of his Habsburg uniform. Her white lace collar also indicates a fashion during the Restoration, when the house of Habsburg liked to look back to its old Spanish empire	KRAFFT, Johann Peter	Franz Xaver Richter von Binnenthal	Oil on canvas, 53 x 43 cn	1814-15	portrait	Austrian	1801-1850
37680-interior.jpg	The painting depicts an interior scene with two peasants eating herrings and drinking	SORGH, Hendrick Maertensz.	An Interior Scene	Oil on panel, 29 x 28 cm	-	interior	Dutch	1601-1650
21435-fetewood.jpg	The composition reflects Lancret's dependence on Watteau, under whom he had briefly studied c. 1717. Watteau's profound poetic feeling becomes in Lancret no more than a picturesque and amiable evocation of the life of society	LANCRET, Nicolas	Fete in a Wood	Oil on canvas, 64 x 91 cm	1720-25	genre	French	1701-1750
20040-032mocki.jpg	This painting is closely related to another work by Honthors, a vertical version of the same theme in a private collection. Since some of the same expressive devices are found in both pictures - for example , the way in which the extended hand of the standing mocker holding a candle casts its shadow on his face - both were likely to have been executed relatively close in time.The size of the canvas suggests that it was a public commisssion, perhaps for a church in or near Rome	HONTHORST, Gerrit van	The Mocking of Christ	Oil on canvas, 146 x 207 cm cm	c. 1617	religious	Dutch	1601-1650
41521-z_battle.jpg	This large tapestry cartoon represents a subject drawn from Livy and Polybius. It was preparatory for the weaving of a section of the Tapestry of Scipio executed in Brussels c. 1558 for Jacques d'Albon, Maréchal de Saint-André and favourite of King Henri II  of France. The artist, who was certainly Mantuan and shows himself here to be a follower of Giulio Romano, was perhaps Fermo Ghisoni (c. 1505-1575)	UNKNOWN MASTER, Italian	The Battle of the Ticino	Distemper on sheets of paper mounted on canvas, 385 x 655 cm	1550s	historical	Italian	1551-1600
39675-13tribut.jpg	The subject of this painting is taken from the New Testament. The Pharisees ask Christ whether it is right to pay tax to the Romans. Christ, sensing the trap, asks whose likeness and name are on the coinage: 'They say unto him, Caesar's. Then he saith unto them, render therefore unto Caesar the things that are Caesar's; and unto God the things that are God's' (Matthew 22; Mark 12, Luke 20).This painting was probably painted for King Philip II and sent to Spain in 1568	TIZIANO Vecellio	Tribute Money	Oil on canvas, 112 x 103 cm	1560-68	religious	Italian	1501-1550
43701-crawford.jpg	"This painting represents the full-length portrait of John 20th Earl of Crawford and Lindsay, ""The Gallant Earl of Crawford"" (1702-1749) dressed in Hussars' uniform holding a musket and standing in a highland landscape. Like his father he sought a military career; he entered the army in 1726 and was a captain in the 3rd foot guards by the end of 1734. Undoubted bravery, far-flung service, generosity of spirit, and courageous persistence in living with a painful wound made ""the gallant earl"" a hero to his contemporaries"	WAITT, Richard	Portrait of John 20th Earl of Crawford and Lindsay	Oil on canvas laid onto board	1725-30	portrait	Scottish	1701-1750
29134-holy_fam.jpg	This painting looks like a genre picture but the bread and wine indicate that these are Mary, Joseph and the Christ Child	MOSTAERT, Jan	The Holy Family at Table	Oak panel, 37,3 x 23,8 cm	1495-1500	religious	Dutch	1501-1550
19406-stillif1.jpg	Heda did not start to paint diagonal compositions until the mid-1630s: the compositions start with flat plates, continue with pieces of ham and goblets, and culminate in a zenith-like fashion with beer or water jug. At times this pattern was of course broken, especially when Heda had to depict the valuable crockery of distinguished households, such as columbine goblets, cups of welcome, etc. Heda then went back either to his triangular or his pyramid-shaped compositions. But it is noticeable that whenever he did this, he also increased the incidence of 'chaotic' elements, showing, for example, the white table-cloth extremely crumpled as well as an overturned jug. (The overturning of goblets goes back to an ancient custom, and in the 16th and 17th centuries goldsmiths, for example, fashioned special goblets that had to be emptied all at once so that they could be placed on the table upside down.	HEDA, Willem Claesz.	Still-Life	Oil on wood, 99 x 83 cm	1651	still-life	Dutch	1601-1650
16070-joachi1.jpg	The elderly Joachim is denied entry to the temple, as he has remained childless. The architecture reinforces the priest's gesture of rejection, to which the saint replies with a saddened look. The sheep, as a sacrificial animal that has become superfluous, has a particularly touching effect.The rejection of Joachim's sacrifice and his expulsion from the Temple occurred because of his childlessness. Here we are dealing with a true opening picture: the closed architecture of the temple introduces the first idea of solidity, while Joachim's dual movement brings this scene to a close, on the one hand, and on the other paves the way for the rest of the series, which finds a premature conclusion in the last picture of this register, the Meeting at the Golden Gate.The action is also driven forward by the repetition of buildings. Thus the temple of the opening picture reappears in the fresco Presentation of Christ at the Temple	GIOTTO di Bondone	No. 1 Scenes from the Life of Joachim: 1. Rejection of Joachim's Sacrifice	Fresco, 200 x 185 cm	1304-06	religious	Italian	1301-1350
39719-2venus_a.jpg	"Between 1553 and 1554 Titian executed for the Habsburgs two classical mythological works of clearly erotic intent which he himself described as ""poesie"" (mythological fables). These are the Dana&#235; with a Nurse and the Venus and Adonis, both now in the Prado, Madrid. The Venus and Adonis became the prototype for a whole series of replicas of this subject.Venus, the goddess of love, falls in love with Adonis, a beautiful youth. Her love is not, however, enough to stop him pursuing his favourite pastime, hunting, which will lead to his undoing, for he is gored to death by a boar. There is an interesting letter from Titian to Philip II which deals with this painting. The artist makes a special point of mentioning that he was particularly interested in depicting the body from both sides.In both paintings the scene of the union of the lovers is bathed in the warm light of sunset, where the diffuse softness of the colours holds sway. The female nudes reveal the continuing inspiration of Michelangelo's sculpture, such as the Dawn and Night from the Medici tombs in Florence. But what is entirely personal to Titian is the quality of the colour, which fragments into patches of dazzling luminosity - a perfect complement to the ecstatic sensuous abandon of the figures.In its own day Venus and Adonis was considered one of Titian's most erotic works, especially in the compression of Venus' buttocks in her seated pose, but it also suggests the indulgent condescension of a younger man towards the frantic and overprotective reaction of an older woman"	TIZIANO Vecellio	Venus and Adonis	Oil on canvas, 180 x 207 cm	1554	mythological	Italian	1501-1550
08156-reale.jpg	In the 1650s Castello developed a scheme of a simulated opening on the ceiling with symmetrical architectural framing elements incorporating additional figures and motifs. On the ceiling in the Palazzo Reale (formerly Palazzo Balbi Durazzo), showing the Triumph of the Balbi, he worked together with his pupil, Giovanni Maria Mariani	CASTELLO, Valerio	Triumph of the Balbi	Fresco	c. 1655	mythological	Italian	1601-1650
26746-06_1sp5f.jpg	The figures are in the triangular spandrel in the sixth bay between Ezekiel and the Persian Sibyl. The spandrel is situated over the Rehoboam-Abijah lunette.Michelangelo painted a family group in this lunette. The woman, seen in profile, is seated in the foreground, in an absorbed attitude, her chin resting on her hand; with her other arm she embraces her child. Behind her, the gray-haired head of a male figure emerges from the shadows.Above, on each side of the ram's skull, the bronze nudes no longer take the form of motionless, reclining figures, but are howling demons who struggle furiously in almost acrobatic positions in the restricted space enclosing them. Although their poses are perfectly symmetrical, their hair seems to be blown in the same direction, as if by a sudden gust of wind.It is usually assumed that the male figure in the shadows represents Solomon, the father of Rehoboam	MICHELANGELO Buonarroti	Ancestors of Christ: figures	Fresco, 245 x 340 cm	1511	religious	Italian	1501-1550
24599-st_john3.jpg	The left wing shows Salome offering the head of St John the Baptist to Herod. In this panel every face bears the stamp of evil. Herodias uses the tip of her knife to make her mark in the saint's forehead; she is presented as the perfect courtesan untrustworthy and vindictive. Herod himself, with his thick lips, hooked nose and narrowed eyes, even seems a little frightened by what he has just done. The whole panel is marked by an extraordinary sense of profane pleasure in such a sumptuous display of rich colours	MASSYS, Quentin	St John Altarpiece (left wing)	Oil on wood	1507-08	religious	Flemish	1451-1500
18912-11aurora.jpg	The ceiling painting in the Sala della Fama, the central hall on the second floor, is entirely allegorical. The central picture is designed as a fictive opening with only a few figures. In the centre hovers the personification of Fame in billowing robes, holding in her outstretched hands an extremely long trumpet and an olive branch as a symbol of peace. Flying in front of her is the brightly feathered phoenix of myth, which is reborn out of its own ashes every five hundred years and was therefore considered a symbol of eternal renewal, but was understood also as a link to virtue. In the lower part of the picture space personifications of Honour (Honos) and Virtue (Virtus) are seated on a dark gray cloud. Amor Virtutis in the form of a putto turns toward them with laurel wreath and crown	GUERCINO	Ceiling painting	Fresco	1621	mythological	Italian	1601-1650
00819-marco_p9.jpg	This picture was placed on the right lateral side of the predella. Justinian sleeps while Sts Cosmas and Damian enter his chamber trailing patches of soft cloud. They replace his corrupted leg with a healthy one. The room is Spartan but the variety of light-sources and Angelico's close observation give it interest. Light floods in from outside through the window on the left, illuminating its own frame and parts of the swags of curtain. Exterior space is indicated not only by the window but by the door opposite it, from whence comes more light. From the front left outside the picture comes the third source of light, which produces a broad diagonal sweep across the right wall. The curtain provides the rectangular backdrop parallel to the picture surface which is common to each of these predella panels, and also hints at more, obscured space behind it. The container hanging from a nail on the side of the bed, the glass and decanter, the slippers and the simple three-legged stool, all provide the constituents of a closely observed still-life	ANGELICO, Fra	The Healing of Justinian by Saint Cosmas and Saint Damian	Tempera on wood, 37 x 45 cm	1438-40	religious	Italian	1401-1450
34462-18rippl.jpg	The picture represents a major milestone in Rippl's oevre where two periods meet: elements of  intimate interior pictures  and those of the next decorative period with  corn are present. There is a constant figure of interior pictures: a old man smoking the pipe while he is meditating. He is present in this picture, too, he is sitting by the artist's father lost in thoughts. Unlike his previous pictures showing interiors, he limits space and does not show details, only relevant things. It integrates less formal pictures arresting emotions and atmospheres with pictures of strict composition.In the case of this picture everything is planned, colours and figures serve the unity of the composition. Spots and patches painted with wide brushstrokes can be seen in the figure of Uncle Piacsek and the lively yellow of the plain background. Neither the new technique, nor  the noisy colours  (yellow wall, burning-red table-cloth)  serve unrestrained decorativity, they balance the strict composition.  This is why an armchair  with blue striped cover  and a green cover are placed  on both sides by the yellow background. The wine-jug and the two glasses have the same function in composition	RIPPL-RÓNAI, József	Father and Uncle Piacsek Drinking Red Wine	Oil on cardboard, 68 x 100 cm	1907	portrait	Hungarian	1851-1900
30682-basket.jpg	This painting of a basket of flowers and its pair (Madrid, Museo del Prado) follow closely a type of flower piece made popular by Juan de Arellano in which the flowers occupy an open weave wicker basket placed on a rough stone ledge. Such images of flowers casually arranged and filling an open weave basket differ from the formal presentations of bouquets in vases and were perhaps intended to be seen as recently-gathered fresh flowers on short stems. Although the paintings have been considered early works by Pérez for reasons of their closeness to the typology of Arellano s works, they show that the painter was evidently in full possession of the technical resources that distinguish his mature style.In the 17th century, flower paintings commonly made up the decoration of chapels and monastic institutions. While it does not appear that symbolism played a significant role in Spanish flower paintings, viewers of a more sombre cast of mind could have read a Vanitas message in such pictures, in which the brief life of the flowers was a metaphor for human existence.	PÉREZ, Bartolomé	Basket of Flowers	Oil on canvas, 54 x 83 cm	1675-85	still-life	Spanish	1651-1700
41468-madfinch.jpg	According to legend, the goldfinch acquired the red spot on its brow when it removed a thorn from Christ's head during his ascent to Calvary, and was splashed with a drop of blood. Its inclusion in images of the Madonna and Child is, therefore, a symbol of Christ's future Passion.This well-preserved panel was formerly attributed to Antonio Vivarini, then to Girolamo di Giovanni da Camerino. However, it appears to be by an anonymous Tuscan artist close to Domenico Veneziano and Giovanni di Francesco	UNKNOWN MASTER, Italian	Madonna and Child with a Goldfinch	Tempera on panel, 77 x 51 cm	around 1450	religious	Italian	1401-1450
24398-assumpt.jpg	The artist seems to have represented here a young girl from the Tuscan countryside and has ennobled her aspect by dressing her in a white mantle with traces of light blue, yellow-lined and edged with a gold ribbon. He made her face graceful by putting on her head a very light, impalpable white veil	MARTINO DI BARTOLOMMEO	Assumption of the Virgin	Panel, 135 x 52 cm	c. 1408	religious	Italian	1401-1450
20118-49hoock.jpg	This painting is one of De Hooch's variations on an amorous theme. The motif of pulling on a stocking and that of a dog nosing about were both recognized in De Hooch's day as sexual innuendos when the context supported such readings.The painting is a fragment of a broader canvas, it has lost about 17 cm on the right	HOOCH, Pieter de	Woman with a Water Pitcher, and a Man by a Bed	Oil on canvas, 62 x 52 cm	1667-70	genre	Dutch	1651-1700
23622-monks1.jpg	The companion-piece of the painting (Three Camaldolese Monks in Meditative Prayer) is also in the Rijksmuseum	MAGNASCO, Alessandro	Three Camaldolese Monks in Ecstatic Prayer	Oil on canvas, 55 x 39 cm	1713-14	religious	Italian	1701-1750
11177-1870s_77.jpg	Louis Edmond Duranty (1833-1880) was a prolific French novelist and art critic. He supported the realist cause and later the Impressionists. He was a frequent visitor to the Café Guerbois group, which included Manet, at the centre of the group, and many writers and painters. Their vigorous debates provided Degas with an entirely new mental environment.Degas was particularly close to Duranty, and painted a celebrated portrait of him in 1879.	DEGAS, Edgar	Edmond Duranty	Pastel and tempera, 101 x 100 cm	1879	portrait	French	1851-1900
39608-34john.jpg	At the sides of the altar in the sacristy of the Santa Maria della Salute, there are eight tondi by Tiziano, painted originally for the monastery of Santo Spirito. They portray the Four Evangelists: St Matthew, St Mark, St Luke and St John, as well as the Doctors of the Church: St Jerome, St Augustine, St Ambrose, and St Gregory the Great.Titian worked on an oak base with dense brush strokes to create, in the case of St John, a penetrating shadow in the face	TIZIANO Vecellio	St John the Evangelist	Oil on oak panel	-	religious	Italian	1501-1550
32122-themiser.jpg	"The initials ""HP."" with which the painting is signed for a long time deceived critics into thinking its author was Horatius Paulyn. At the beginning of the twentieth century the painting's attribution was changed in favour of Pot"	POT, Hendrick Gerritsz	The Miser	Oil on wood, 36 x 32,7	1640s	portrait	Dutch	1601-1650
04385-z_salome.jpg	The painter learnt painting from his father but later, under the influence of Michelangelo, he turned toward sculpting.	BERRUGUETE, Alonso	Salome	Oil on wood, 88 x 71 cm	1512-16	religious	Spanish	1501-1550
22674-00view1.jpg	The view of the left (north) wall of the main chapel represents, in the lunette, birth and boyhood of St Stephen; in the middle register, Stephen is consecrated to the priesthood and takes leave of Bishop Julian, returns home, exorcises the changeling, and disputes with the Pharisees; in the bottom register, the funeral of St Stephen and, extending across the east wall, his martyrdom	LIPPI, Fra Filippo	View of the left (north) wall of the main chapel	Fresco	1452-65	religious	Italian	1401-1450
